Date,Team,ServeTot,ServeErr,ServePts,RecTot,RecErr,AttackTot,Block,AfterPosErr, AfterPosBlo,AfterPosPts,AfterPosTot,AfterNegErr,AfterNegBlo,AfterNegPts,AfterNegTot,AfterDigErr,AfterDigBlo,AfterDigPts,AfterDigTot
07.10.2023,Viteos NUC,97,11,14,76,5,148,8,3,0,41,34,5,0,35,31,11,4,46,83
07.10.2023,Raiffeisen Volley Toggenburg,78,2,5,86,14,128,4,3,3,40,30,2,3,26,31,3,2,27,67
07.10.2023,VBC Cheseaux,56,7,5,64,6,91,0,5,2,36,28,2,1,35,23,3,4,20,40
07.10.2023,Sm'Aesch Pfeffingen,74,9,6,48,4,88,7,2,0,67,24,4,0,31,16,7,0,44,48
07.10.2023,FKB Power Cats Düdingen,118,13,5,111,4,222,11,3,10,37,73,3,1,27,30,10,11,32,119
07.10.2023,Genève Volley,120,8,5,105,5,180,22,8,4,42,64,1,2,25,24,6,5,29,92
07.10.2023,Volleyball Academy,77,17,6,86,12,114,10,4,2,49,35,3,3,40,25,6,4,30,54
07.10.2023,Raiffeisen Volley Glaronia,97,11,12,60,6,107,9,1,0,64,22,1,3,36,25,3,7,30,60
08.10.2023,Volley Lugano,91,20,8,82,9,114,14,1,4,44,34,1,2,47,30,4,3,30,50
08.10.2023,VC Kanti Schaffhausen,91,9,9,71,8,117,9,4,5,50,30,5,2,19,27,4,7,43,60
15.10.2023,Genève Volley,83,8,6,89,3,152,11,7,1,29,42,4,2,32,37,4,5,33,73
15.10.2023,Volley Lugano,95,6,3,75,6,152,8,2,1,50,26,2,4,36,39,5,6,37,87
15.10.2023,Raiffeisen Volley Toggenburg,74,5,8,46,4,86,4,0,4,56,32,0,0,29,7,2,4,30,47
15.10.2023,Volleyball Academy,54,7,5,65,4,83,8,5,0,36,36,3,2,27,15,7,2,34,32
15.10.2023,VC Kanti Schaffhausen,75,6,7,47,8,72,10,3,2,59,22,1,2,8,13,7,1,35,37
15.10.2023,VBC Cheseaux,68,21,8,69,7,100,5,4,2,44,25,4,3,30,30,3,5,38,45
18.10.2023,Sm'Aesch Pfeffingen,56,10,1,63,6,72,4,3,4,50,34,4,2,33,18,5,4,20,20
18.10.2023,Viteos NUC,73,10,6,46,1,70,10,0,1,55,22,0,1,42,19,8,2,55,29
21.10.2023,FKB Power Cats Düdingen,94,4,5,85,11,134,13,4,3,35,52,1,1,33,18,3,7,22,64
21.10.2023,Sm'Aesch Pfeffingen,97,12,11,90,5,158,11,11,3,43,61,3,4,12,16,9,6,41,81
21.10.2023,VBC Cheseaux,73,11,10,50,2,92,9,1,1,45,29,3,0,31,13,2,2,58,50
21.10.2023,Raiffeisen Volley Glaronia,55,4,3,59,7,77,3,4,5,43,28,1,3,0,13,0,1,36,36
22.10.2023,Raiffeisen Volley Toggenburg,89,5,4,86,5,153,5
22.10.2023,VC Kanti Schaffhausen,96,8,7,84,4,147,16
22.10.2023,Viteos NUC,73,12,9,40,3,76,8,2,0,53,15,3,0,58,19,2,2,55,42
22.10.2023,Genève Volley,46,6,3,61,9,72,2,2,3,36,22,4,3,22,23,2,2,26,27
22.10.2023,Volleyball Academy,76,16,6,77,4,120,2,2,0,45,20,6,2,33,42,6,5,38,58
22.10.2023,Volley Lugano,89,12,4,60,4,116,7,2,0,46,24,2,1,41,27,3,1,40,65
25.10.2023,Raiffeisen Volley Glaronia,86,13,2,92,4,140,10,6,4,53,55,2,1,31,29,3,4,23,56
25.10.2023,FKB Power Cats Düdingen,98,6,4,73,2,140,9,5,7,37,57,2,0,38,13,5,3,44,70
27.10.2023,Volley Lugano,90,6,4,63,6,131,15,1,1,56,25,2,0,48,25,2,5,37,81
27.10.2023,Raiffeisen Volley Toggenburg,70,7,6,84,4,152,6,2,2,38,24,2,8,29,49,5,5,24,78
28.10.2023,Genève Volley,96,9,9,71,4,129,9,0,2,46,26,3,2,39,33,4,4,39,70
28.10.2023,VBC Cheseaux,86,15,4,87,9,120,8,0,1,57,23,2,5,41,41,6,3,38,55
28.10.2023,VC Kanti Schaffhausen,100,8,8,80,5,134,20,2,4,43,30,4,1,26,31,9,5,37,73
28.10.2023,Volleyball Academy,91,11,5,92,8,151,10,6,6,22,36,3,5,30,44,5,9,38,71
28.10.2023,FKB Power Cats Düdingen,113,11,9,87,6,165,14,3,3,41,44,4,3,18,33,3,6,34,88
28.10.2023,Viteos NUC,105,18,6,102,9,177,12,4,2,46,48,2,2,40,40,8,10,30,89
28.10.2023,Raiffeisen Volley Glaronia,67,9,4,66,7,110,5,4,0,33,33,3,2,25,24,2,3,30,53
28.10.2023,Sm'Aesch Pfeffingen,73,7,7,58,4,119,5,3,1,52,31,3,0,33,21,10,4,31,67
04.11.2023,Raiffeisen Volley Toggenburg,40,2,1,67,9,103,5,2,5,23,26,3,4,25,28,4,6,16,49
04.11.2023,FKB Power Cats Düdingen,73,6,9,38,1,94,15,1,1,43,23,1,1,30,10,2,3,44,61
04.11.2023,Volleyball Academy,88,13,6,81,6,140,11,3,0,30,27,4,3,15,40,5,7,33,73
04.11.2023,Genève Volley,101,20,6,75,6,141,10,2,2,44,34,4,1,39,31,4,8,41,76
05.11.2023,Sm'Aesch Pfeffingen,72,7,5,56,2,114,12,2,2,41,22,2,1,37,27,7,4,31,68
05.11.2023,VC Kanti Schaffhausen,62,5,2,65,5,115,7,3,3,30,27,1,2,25,28,8,7,22,60
05.11.2023,VBC Cheseaux,73,11,5,48,0,91,6,1,1,61,31,1,1,20,10,6,5,37,49
05.11.2023,Volley Lugano,62,12,2,61,4,92,7,4,4,38,37,3,1,25,16,4,1,33,39
05.11.2023,Viteos NUC,73,9,6,48,2,98,10,1,1,52,21,3,2,39,23,3,1,41,54
